month,origin,dest,fleet_type,departures,block_hours,ASMs,RPMs,pax,revenue,rasm,fuel_cost,labor_cost,maint_cost,station_cost,total_cost,casm,margin,margin_per_ASM
2023-07,HNL,OGG,838,332,240.08333333333337,5810000.0,3197400.0,31974,399675.0,0.0687908777969018,593869.8201217902,438407.7764254933,135554.6040995351,2663897.6470054006,3831729.8476522192,0.6595059978747365,-3432054.8476522192,-0.5907151200778347
2023-07,OGG,HNL,838,332,225.55,5810000.0,3193900.0,31939,399237.5,0.0687155765920826,557920.1857485723,426284.53601435944,127348.86895376662,2662638.594533285,3774192.1852499833,0.6496027857573121,-3374954.6852499833,-0.5808872091652295
2023-07,LAS,BUR,612,306,323.75,9758034.0,6761806.0,30322,845225.75,0.0866184469125645,800827.5776373323,489550.4671063651,182794.04266806447,2485927.6576325614,3959099.745044323,0.4057271931051197,-3113873.995044323,-0.3191087461925551
2023-07,BUR,LAS,612,292,319.6166666666667,9311588.0,6096374.0,27338,762046.75,0.0818385381741546,790603.3696963255,476060.61078873154,180460.3014798184,2314753.7497048695,3761878.0316697448,0.4039996219409347,-2999831.2816697448,-0.3221610837667801
2023-07,LAS,SAN,612,270,299.7,9961380.0,7390410.0,28645,923801.25,0.0927382802382802,741337.5290128448,443666.5400160739,169215.05664129398,2261464.994031123,3615684.119701335,0.362970202893709,-2691882.869701335,-0.2702319226554288
2023-07,BUR,OAK,612,286,322.48333333333335,13291850.0,7630025.0,23477,953753.125,0.0717547312827033,797694.3526231529,474148.19404462265,182078.8639168278,2148506.2649461315,3602427.675530735,0.2710253031391969,-2648674.550530735,-0.1992705718564936
2023-07,OAK,BUR,612,285,309.25,13245375.0,7816250.0,24050,977031.25,0.0737639553429027,764960.3965539614,462392.0889088774,174607.12801574962,2164559.417457624,3566519.0309362123,0.2692652364267687,-2589487.7809362123,-0.195501281083866
2023-07,SAN,LAS,612,244,302.18333333333334,9002136.0,6528690.0,25305,816086.25,0.0906547346096526,747480.2991064336,427088.6985379635,170617.183403587,2022772.702574554,3367958.8836225383,0.3741288604862822,-2551872.6336225383,-0.2834741258766295
2023-07,SNA,LAS,612,243,272.25,7853274.0,6048890.0,26765,756111.25,0.0962797490575268,673437.2448239806,401401.9891683236,153716.38028225655,2070733.842022224,3299289.456296785,0.4201164324964065,-2543178.206296785,-0.3238366834388797
2023-07,LAS,SNA,612,244,251.53333333333333,7885592.0,6419304.0,28404,802413.0,0.1017568497076693,622192.525184176,384838.0934812713,142019.44360084576,2134252.8057484156,3283302.8680147086,0.4163673276546274,-2480889.8680147086,-0.314610477946958
2023-07,SJC,SAN,612,280,376.06666666666666,16696680.0,13673430.0,32790,1709178.75,0.1023663836163836,930238.0160519312,514541.9935517523,212332.80714348555,2456166.1306915744,4113278.947438744,0.2463531041763239,-2404100.197438744,-0.1439867205599403
2023-07,BUR,SMF,612,251,309.4,12849694.0,7775760.0,21720,971970.0,0.0756414899841194,765331.4363582721,438129.59147549624,174691.8202362908,1925725.1022261383,3303877.950296198,0.2571172473287066,-2331907.950296198,-0.1814757573445872
2023-07,HOU,DAL,612,241,229.55,8236657.0,6130589.0,25651,766323.625,0.0930381858805095,567814.5805301919,364348.453024764,129607.3281681983,2021541.330274338,3083311.691997492,0.3743401834017724,-2316988.066997492,-0.2813019975212628
2023-07,SMF,SAN,612,292,419.95,20042880.0,18083520.0,37674,2260440.0,0.112780199252802,1038787.7721352824,559755.4585811918,237109.98677514648,2686569.9311843906,4522223.148676012,0.225627412261911,-2261783.1486760117,-0.112847213009109
2023-07,SJC,BUR,612,243,250.63333333333333,10285704.0,5124056.0,17311,640507.0,0.062271576160465,619966.2863583117,383370.05933662585,141511.29027759866,1730645.7828400068,2875493.418812543,0.2795621397244703,-2234986.418812543,-0.2172905635640052
2023-07,BUR,SJC,612,239,254.03333333333333,10116392.0,5329184.0,18004,666148.0,0.0658483775638587,628376.5219226882,383337.0981854247,143430.98060986557,1737337.681374197,2892482.282092175,0.2859203441397067,-2226334.282092175,-0.2200719665758479
2023-07,SMF,BUR,612,247,280.6,12644918.0,7434586.0,20767,929323.25,0.0734938138784292,694091.7939306116,411236.4233583428,158430.91389238267,1873205.5616431364,3136964.6928244736,0.248081062512582,-2207641.4428244736,-0.1745872486341527
2023-07,PHX,DEN,612,271,462.46666666666664,23329306.0,16304568.0,27084,2038071.0,0.0873609785048899,1143956.9433349136,580158.5545195856,261115.52617520993,2209870.588878206,4195101.612907915,0.1798211062475632,-2157030.6129079154,-0.0924601277426733
2023-07,SAN,SJC,612,257,327.2,15325167.0,13194714.0,31642,1649339.25,0.1076229218252564,809361.4931364792,457281.4785290155,184741.9637405118,2310004.5022274633,3761389.4376334697,0.2454387242653518,-2112050.1876334697,-0.1378158024400954
2023-07,SJC,SNA,612,223,276.6166666666667,10906038.0,8057520.0,23560,1007190.0,0.092351594593747,684238.6257939154,390698.8620457593,156181.8649246778,1864253.9064357805,3095373.259200133,0.2838219763400909,-2088183.259200133,-0.1914703817463439
